Year;Month;Day;Hour;Minute;Temperature[2mabovegnd];TotalPrecipitation(highresolution)[sfc];WindSpeed[10mabovegnd];WindDirection[10mabovegnd]
2020;03;03;00;00;23.54;0.00;2.19;350.54
2020;03;03;01;00;22.97;0.00;3.24;360.00
2020;03;03;02;00;22.36;0.00;4.68;360.00
2020;03;03;03;00;21.82;0.00;6.13;3.37
2020;03;03;04;00;21.29;0.00;7.34;11.31
2020;03;03;05;00;20.80;0.00;8.21;15.26
2020;03;03;06;00;20.22;0.00;8.53;27.65
2020;03;03;07;00;20.16;0.00;7.79;33.69
2020;03;03;08;00;22.30;0.00;4.69;32.47
2020;03;03;09;00;24.39;0.00;3.60;360.00
2020;03;03;10;00;26.65;0.00;5.48;293.20
2020;03;03;11;00;28.45;0.00;11.37;280.95
2020;03;03;12;00;29.41;0.00;15.91;275.19
2020;03;03;13;00;29.36;0.00;19.52;275.29
2020;03;03;14;00;28.70;0.00;21.49;278.67
2020;03;03;15;00;27.68;0.00;21.61;280.56
2020;03;03;16;00;26.44;0.00;20.77;278.97
2020;03;03;17;00;27.66;0.00;18.03;273.43
2020;03;03;18;00;26.42;0.00;14.78;272.79
2020;03;03;19;00;25.47;0.00;10.85;275.71
2020;03;03;20;00;24.93;0.00;9.78;276.34
2020;03;03;21;00;24.57;0.00;8.65;272.39
2020;03;03;22;00;24.24;0.00;6.84;270.00
2020;03;03;23;00;23.83;0.00;5.76;270.00
2020;03;04;00;00;23.94;0.00;5.24;285.95
2020;03;04;01;00;23.97;0.00;5.80;299.74
2020;03;04;02;00;23.58;0.00;6.92;308.66
2020;03;04;03;00;23.67;0.00;6.92;321.34
2020;03;04;04;00;23.62;0.00;6.61;330.64
2020;03;04;05;00;23.58;0.00;6.29;346.76
2020;03;04;06;00;23.49;0.00;6.12;360.00
2020;03;04;07;00;23.53;0.00;6.03;17.35
2020;03;04;08;00;24.23;0.00;6.03;17.35
2020;03;04;09;00;25.03;0.00;4.68;360.00
2020;03;04;10;00;26.49;0.00;5.12;320.71
2020;03;04;11;00;27.76;0.00;7.52;286.70
2020;03;04;12;00;28.62;0.00;11.57;275.36
2020;03;04;13;00;28.93;0.00;15.88;273.90
2020;03;04;14;00;28.68;0.00;19.30;278.58
2020;03;04;15;00;28.18;0.00;20.48;280.12
2020;03;04;16;00;27.55;0.00;20.01;278.28
2020;03;04;17;00;26.45;0.00;19.56;282.76
2020;03;04;18;00;25.50;0.00;13.10;285.95
2020;03;04;19;00;24.98;0.00;10.83;285.42
2020;03;04;20;00;24.76;0.00;10.37;290.32
2020;03;04;21;00;24.60;0.00;9.50;294.62
2020;03;04;22;00;24.12;0.00;7.99;305.84
2020;03;04;23;00;23.68;0.00;7.49;324.78
2020;03;05;00;00;23.20;0.00;7.77;346.61
2020;03;05;01;00;22.61;0.00;8.28;360.00
2020;03;05;02;00;22.08;0.00;7.34;11.31
2020;03;05;03;00;22.59;0.00;6.44;26.57
2020;03;05;04;00;22.10;0.00;5.90;37.57
2020;03;05;05;00;22.48;0.00;6.41;51.84
2020;03;05;06;00;22.08;0.00;8.71;82.87
2020;03;05;07;00;21.94;0.00;10.11;85.91
2020;03;05;08;00;23.05;0.00;8.56;75.38
2020;03;05;09;00;24.77;0.00;5.32;61.70
2020;03;05;10;00;26.61;0.00;3.22;333.43
2020;03;05;11;00;28.14;0.00;7.57;272.73
2020;03;05;12;00;29.08;0.00;12.96;268.41
2020;03;05;13;00;29.40;0.00;17.28;270.00
2020;03;05;14;00;29.21;0.00;20.60;275.01
2020;03;05;15;00;28.54;0.00;22.51;277.35
2020;03;05;16;00;27.65;0.00;22.86;277.24
2020;03;05;17;00;26.73;0.00;21.19;279.78
2020;03;05;18;00;25.67;0.00;15.12;271.36
2020;03;05;19;00;25.11;0.00;12.96;271.59
